prisonerId,SSN,firstName,lastName,sex,dob,servSDate,servEDate,addrId,hasVisitorPrivilege
29,400-84-7746,Rahel,Reddings,Female,1942-10-10,2022-01-02,2049-01-26,29,0
30,474-20-1985,Tallulah,Krienke,Female,1965-09-20,2012-07-06,2027-05-27,30,0
31,518-62-4123,Lola,Jeste,Female,1983-01-12,2009-01-27,2035-03-01,31,0
32,322-81-7223,Patti,Rummer,Female,1987-08-18,2011-11-03,2048-08-06,32,1
33,604-16-9102,Bendicty,Beddon,Other,1927-07-12,2014-06-20,2047-10-13,33,0
34,822-81-4532,Briggs,McCrackan,Female,1938-03-16,2018-07-29,2033-10-21,34,1
35,204-91-0677,Ferdinanda,Caccavale,Other,1961-04-24,2010-12-12,2031-03-20,35,1
36,783-57-0260,Joey,Rymour,Other,1933-07-11,2008-07-02,2038-09-17,36,0
37,406-62-1499,Ignaz,Castella,Female,1950-05-11,2020-04-07,2035-05-31,37,0
38,212-19-4459,Lemar,Kiss,Female,1949-05-14,2020-10-22,2047-01-09,38,1
39,206-22-3893,Merwin,Stringman,Female,1962-03-02,2007-03-11,2043-01-05,39,0
40,663-98-1378,Serena,Cliffe,Female,1936-04-18,2021-03-12,2025-10-15,40,0
41,598-83-3958,Petronella,Forlonge,Other,1945-06-20,2019-03-09,2043-10-08,41,0
42,817-83-6110,Kare,Jimes,Other,1976-01-01,2010-08-06,2026-10-20,42,0
43,822-61-1278,Mimi,Reder,Other,1977-12-26,2010-11-07,2027-02-27,43,0
44,434-15-8401,Julissa,Henrichsen,Male,1982-10-26,2010-01-30,2035-04-20,44,1
45,722-55-1554,Nevins,MacFadin,Other,1973-01-20,2006-01-02,2038-10-26,45,1
46,127-19-2355,Ailbert,Cassley,Male,1950-05-13,2018-03-26,2047-07-15,46,1
47,366-85-2239,Silvie,Pringle,Male,1943-03-23,2015-01-18,2030-08-03,47,1
48,268-71-5082,Giraldo,Malter,Other,1944-10-10,2016-11-22,2038-02-14,48,0
49,361-79-7701,Lefty,Ridewood,Other,1928-10-04,2018-07-12,2024-08-29,49,1
50,175-76-8404,Englebert,Mathivon,Female,1948-11-10,2013-08-13,2042-08-18,50,1
51,304-47-1621,Rebekkah,Bassilashvili,Male,1924-04-25,2012-11-11,2044-10-22,51,0
52,372-30-0001,Kynthia,Decruse,Male,1927-07-02,2009-05-19,2034-09-28,52,0
53,567-14-9744,Domingo,Bossons,Male,1933-05-15,2020-07-05,2041-09-22,53,0
54,323-59-8797,Ardella,Stokes,Female,1977-01-22,2016-11-17,2031-06-22,54,0
55,205-82-9710,Jack,Fere,Other,1967-06-30,2008-03-07,2024-10-09,55,1
56,737-34-1254,Binky,Storkes,Other,1948-01-13,2020-02-02,2033-01-14,56,0
57,516-40-5069,Ariela,McAlinden,Male,1983-04-27,2013-12-01,2047-05-17,57,1
58,824-01-2999,Justine,Slorance,Female,1938-04-10,2021-11-16,2043-07-31,58,0
59,669-82-5226,Kellsie,Stagg,Male,1931-05-29,2014-12-22,2044-06-24,59,0
60,719-29-7522,Adaline,Ayree,Male,1975-10-04,2016-04-18,2046-01-05,60,0
61,348-90-2614,Fair,Franceschino,Male,1942-01-09,2018-10-24,2035-02-19,61,0
62,717-87-2301,Penelope,Quincey,Female,1930-08-30,2016-11-27,2027-04-15,62,1
63,296-14-5478,Gordy,Southwick,Male,1972-06-30,2022-09-07,2029-09-25,63,0
64,647-97-7344,Jim,Filyushkin,Male,1976-03-18,2009-09-23,2041-02-02,64,1
65,207-02-0656,Sly,Fontanet,Male,1939-09-19,2019-10-24,2028-04-06,65,1
66,101-83-2183,Edwina,Mulqueen,Female,1951-07-12,2013-05-01,2039-03-24,66,0
67,451-44-1082,Randi,Windrum,Male,1954-12-28,2018-11-07,2041-05-05,67,0
68,482-94-4439,Mariele,Shakeshaft,Female,1977-11-07,2022-11-17,2032-02-16,68,1
69,596-19-8920,Zak,Stivens,Other,1979-06-09,2016-01-13,2033-01-04,69,1
70,330-07-2793,Jereme,Seston,Other,1947-12-10,2022-05-26,2037-08-20,70,0
71,856-56-6853,Mahmud,Waye,Female,1950-01-31,2009-10-21,2044-01-04,71,1
72,554-44-4301,Lynna,Broom,Female,1937-04-16,2006-03-04,2041-12-20,72,1
73,621-34-7663,Constantino,Swinbourne,Other,1924-08-16,2021-12-05,2043-12-28,73,0
74,848-85-2392,Wylie,Beasant,Female,1951-11-01,2008-07-30,2033-06-04,74,1
75,877-47-4756,Benoite,Hadley,Male,1928-12-08,2009-04-28,2034-01-19,75,0
76,203-88-8614,Cate,Maryott,Other,1986-06-14,2014-05-22,2032-02-22,76,1
77,267-12-2031,Mora,Pick,Other,1962-06-02,2016-06-12,2042-07-13,77,1
78,587-01-3844,Nicky,Streather,Male,1984-01-01,2021-09-21,2036-06-27,78,1
79,825-31-6695,Frasier,Caress,Female,1948-01-30,2022-04-29,2027-06-06,79,0
80,357-52-7531,Alisha,Spennock,Male,1935-06-12,2016-09-23,2045-10-09,80,0
81,264-16-2501,Karoly,Coull,Male,1939-01-17,2009-01-10,2046-01-05,81,1
82,861-32-2302,Montgomery,Golder,Other,1987-07-16,2013-09-23,2024-05-17,82,0
83,550-46-3004,Blaire,Spurier,Female,1970-10-06,2021-10-11,2044-12-24,83,1
84,574-17-0487,Christophe,Gair,Other,1930-03-10,2018-10-31,2024-01-25,84,0
85,243-07-1074,Sollie,O'Sherin,Male,1943-09-27,2015-06-20,2024-09-22,85,1
86,189-63-1386,Jim,Santi,Other,1937-01-03,2020-09-21,2047-05-25,86,0
87,172-69-8291,Natalee,Roussell,Other,1975-07-19,2021-12-22,2030-08-05,87,1
88,732-97-2579,Pierson,Reddan,Female,1983-03-09,2010-11-21,2027-09-09,88,0
89,204-08-6400,Jarrid,Pavis,Male,1970-12-20,2021-08-18,2029-06-30,89,0
90,396-98-0871,Stanislas,Caghy,Male,1972-08-16,2022-12-23,2049-01-31,90,1
91,394-25-8731,Elwin,Munnings,Male,1931-02-06,2018-10-27,2037-01-06,91,1
92,652-38-9996,Billie,Moulding,Other,1948-05-07,2018-08-03,2039-10-11,92,0
93,701-98-1467,Mitchel,Wyard,Male,1972-12-19,2013-11-18,2048-04-01,93,0
94,608-93-7841,Clara,Rosendorf,Male,1975-12-03,2022-11-29,2049-12-19,94,1
95,791-28-1784,Gunter,Buckston,Other,1928-08-11,2008-08-08,2049-07-03,95,0
96,100-76-3982,Dasie,Sidaway,Other,1924-02-03,2009-06-05,2041-01-12,96,1
97,405-03-6777,Marven,Mathivon,Female,1934-06-23,2007-05-31,2026-09-01,97,1
98,350-37-8666,Todd,Duguid,Male,1932-09-13,2016-06-02,2040-05-21,98,1
99,274-52-2885,Forster,Baudrey,Other,1938-04-27,2017-04-26,2031-06-27,99,0
100,478-90-3487,Bertina,Biss,Male,1940-05-15,2019-10-26,2033-09-08,100,0
101,301-74-4360,Jerrilyn,Ruilton,Female,1983-11-30,2019-03-01,2030-01-13,101,0
102,796-90-8586,Dorice,Bunyard,Female,1960-03-30,2006-03-31,2049-05-10,102,1
103,137-62-5117,Hesther,Matyas,Male,1970-08-03,2019-07-29,2035-05-25,103,0
104,210-61-0027,Nydia,Handrock,Other,1946-02-05,2021-02-25,2036-03-14,104,0
105,429-29-6034,Heddie,Fairest,Male,1944-11-10,2008-11-16,2024-10-12,105,1
106,329-45-0791,Ben,Garforth,Other,1982-02-03,2009-09-29,2037-04-23,106,1
107,167-97-9067,Ruby,Ruthen,Other,1934-06-07,2011-12-19,2043-03-01,107,1
108,479-33-1309,Herbie,Higgonet,Male,1943-12-18,2017-07-15,2029-08-21,108,0
109,735-58-3949,Nickolaus,Benadette,Female,1927-11-08,2019-12-15,2037-01-05,109,0
110,507-21-8866,Atalanta,Stephenson,Other,1948-12-08,2008-04-17,2030-06-29,110,0
111,596-51-7060,Sheila,Askam,Other,1928-09-01,2006-03-16,2042-12-26,111,1
112,877-31-8575,Amory,Dreger,Female,1943-08-01,2021-08-08,2028-07-03,112,0
113,677-81-8457,Frederik,Dutt,Other,1944-01-05,2009-12-08,2039-06-22,113,1
114,121-61-5253,Leela,Gumly,Male,1924-03-24,2022-11-20,2033-02-14,114,1
115,263-55-2900,Waldo,Senescall,Male,1926-06-27,2022-05-29,2044-10-21,115,1
116,164-95-4121,Joelly,Kinnerk,Male,1932-02-01,2006-12-12,2031-06-26,116,1
117,641-84-8952,Romeo,Criple,Male,1955-01-16,2018-02-04,2030-11-25,117,0
118,479-68-0930,Fawne,O'Carney,Female,1957-06-25,2015-03-11,2024-11-08,118,1
119,540-64-9028,Garvy,Oaten,Female,1925-07-24,2009-10-05,2048-11-20,119,0
120,651-12-8978,Janina,Russo,Other,1938-05-16,2020-01-28,2048-09-29,120,1
121,178-43-9562,Waite,Shortcliffe,Other,1956-09-28,2020-12-08,2036-01-08,121,0
122,609-80-4495,Micheal,Matley,Female,1981-12-05,2014-10-17,2042-04-17,122,0
123,538-14-1962,Arabelle,Schuricke,Female,1952-02-25,2006-02-08,2034-01-19,123,0
124,577-43-8082,Edee,Buckerfield,Other,1955-01-08,2015-11-29,2045-08-09,124,0
125,573-37-2651,Ozzie,Alflat,Male,1974-03-04,2021-03-10,2033-05-14,125,0
126,203-02-6702,Elvina,Pavia,Female,1960-12-05,2010-01-14,2037-06-21,126,0
127,115-96-5923,Townsend,Arnao,Male,1981-03-17,2017-06-20,2029-05-27,127,1
128,199-78-0095,Marcy,Comins,Female,1928-11-12,2014-08-22,2040-12-07,128,0
129,748-58-3403,Philomena,Stonman,Male,1949-12-19,2006-06-30,2029-12-31,129,0
130,428-27-1292,Consolata,Vampouille,Other,1966-08-19,2006-01-05,2044-01-09,130,0
131,718-88-0260,Frederick,Goodreid,Other,1986-10-01,2019-05-21,2026-08-24,131,0
132,261-48-2753,Aurie,Bolus,Female,1961-06-19,2015-07-10,2031-03-14,132,1
133,316-67-0573,Eryn,Claus,Female,1956-03-27,2010-11-23,2027-07-06,133,0
134,288-49-1192,Silvan,Leil,Other,1927-04-06,2020-03-18,2024-02-25,134,0
135,399-27-5265,Wallis,Tesauro,Other,1935-10-08,2018-06-12,2033-08-22,135,1
136,489-16-5575,Griffith,O'Crowley,Other,1959-03-15,2007-03-02,2027-05-03,136,1
137,711-19-8361,Winona,Caulliere,Male,1953-05-15,2008-04-29,2029-03-19,137,0
138,503-88-6629,Malanie,Weagener,Female,1954-05-03,2010-01-12,2030-02-04,138,1
139,371-42-0336,Toinette,Wearn,Other,1962-05-25,2007-04-03,2030-11-02,139,0
140,546-34-5465,Emery,Rustedge,Female,1936-08-11,2019-09-13,2024-01-01,140,0
141,151-53-0754,Ofella,Wenderott,Female,1952-02-09,2021-06-18,2040-06-12,141,0
142,588-58-4232,Hobey,Banfield,Other,1924-05-11,2013-10-25,2048-01-08,142,0
143,805-04-9230,Jayne,Addenbrooke,Other,1942-12-21,2006-06-16,2036-02-20,143,0
144,394-46-6128,Emmett,Clutterbuck,Male,1975-07-11,2007-01-19,2029-10-17,144,0
145,648-07-4324,Wolf,Thaim,Other,1954-03-04,2019-07-25,2038-01-29,145,0
146,123-26-4973,Amargo,Seabrook,Other,1969-08-24,2018-08-27,2029-01-23,146,1
147,110-64-9252,Fidel,Pusey,Other,1963-10-22,2016-11-05,2040-03-21,147,1
148,226-62-9483,Courtenay,Betton,Female,1937-03-10,2018-03-26,2030-11-22,148,1
149,494-13-7936,Lavena,Fanshawe,Female,1978-01-18,2019-04-10,2039-11-17,149,1
150,804-51-6346,Anetta,O'Dowgaine,Other,1968-04-06,2021-08-07,2042-03-09,150,0
151,742-84-8671,Mordy,Soanes,Female,1956-02-12,2019-08-28,2035-03-08,151,0
152,300-57-7182,Alisa,Yukhnov,Other,1962-06-29,2013-10-09,2038-10-19,152,0
153,209-56-2850,Rhett,Stroband,Other,1968-03-19,2009-06-25,2029-10-21,153,1
154,246-42-9085,Aland,Jobson,Female,1984-02-24,2012-02-27,2039-09-12,154,0
155,712-70-6565,Kerrie,"Van Velde",Female,1984-07-18,2014-02-26,2030-11-15,155,1
156,441-74-4511,Lavinie,Blanch,Other,1934-08-26,2015-11-02,2024-05-09,156,0
157,695-17-4923,Toiboid,Pleaden,Female,1970-01-21,2022-02-08,2034-12-02,157,1
158,547-53-4916,Muire,Dainton,Other,1932-12-17,2008-03-12,2034-08-30,158,1
159,521-24-4302,Melisent,Muck,Female,1985-09-22,2017-02-12,2031-04-23,159,0
160,513-93-4459,Judye,Saurat,Other,1953-06-13,2019-09-05,2038-01-13,160,0
161,775-74-3074,Sonny,Gouldbourn,Female,1966-06-24,2022-07-23,2039-10-08,161,0
162,881-82-8361,Emmott,Linzey,Female,1951-03-01,2022-01-25,2029-10-15,162,1
163,567-24-4082,Goldarina,Gossington,Other,1928-01-01,2022-02-25,2033-03-08,163,0
164,895-64-0903,Amalle,Seabridge,Other,1981-05-07,2011-05-27,2049-06-10,164,1
165,522-50-0065,Jordon,Falshaw,Female,1958-06-21,2018-02-21,2035-03-21,165,1
166,683-27-0949,Melinda,Aymerich,Male,1925-02-11,2008-01-03,2041-04-23,166,0
167,896-98-4201,Nertie,Corbett,Male,1924-12-14,2014-09-02,2040-12-29,167,0
168,438-24-7676,Clemence,OIlier,Other,1936-07-22,2008-02-07,2046-11-18,168,0
169,852-28-7332,Wernher,Santello,Male,1973-01-25,2015-12-21,2034-10-11,169,0
170,833-32-3122,Creight,Merwood,Male,1950-07-21,2016-06-24,2026-01-04,170,1
171,380-36-6643,Robby,Tureville,Other,1935-04-21,2020-09-21,2044-03-02,171,0
172,260-33-0271,Augustine,"De Freyne",Female,1971-10-28,2016-01-06,2039-07-06,172,0
173,101-56-1449,Emelyne,Rettie,Other,1926-09-07,2006-09-17,2032-11-20,173,1
174,519-50-0099,Cory,Govenlock,Male,1980-10-05,2012-05-07,2024-03-29,174,0
175,191-23-6314,Harriet,McWhin,Female,1987-10-09,2012-05-06,2038-04-24,175,1
176,307-52-0839,Hardy,Baber,Other,1944-07-26,2020-09-13,2024-07-14,176,0
177,357-38-8327,Claudetta,Bulloch,Female,1985-02-25,2017-11-20,2024-10-28,177,0
178,819-64-3049,Tabitha,Croome,Male,1965-03-19,2017-02-11,2034-04-11,178,0
179,788-10-1009,Remus,Minister,Other,1939-07-14,2006-12-17,2033-08-08,179,0
180,303-77-2344,Odelinda,Gott,Other,1940-01-11,2019-07-21,2025-04-26,180,1
181,892-52-7095,Tallou,"January 1st",Female,1927-10-15,2011-01-04,2049-05-14,181,1
182,675-50-7444,Welch,Lewtey,Female,1968-02-24,2020-06-26,2033-11-01,182,0
183,210-89-5093,Emelia,Huttley,Male,1972-08-29,2016-10-12,2033-02-22,183,0
184,371-74-1628,Charmion,Canellas,Other,1982-08-09,2008-11-09,2027-12-26,184,0
185,316-58-9915,Waite,Steiner,Other,1970-10-11,2008-10-06,2031-10-01,185,0
186,455-18-0509,Barnett,Kase,Other,1978-10-26,2022-01-13,2025-08-15,186,1
187,159-84-5663,Tracee,Dickson,Male,1966-02-04,2021-09-28,2047-11-29,187,0
188,481-72-2207,Tera,Quantrell,Other,1926-07-24,2009-12-01,2028-11-11,188,1
189,407-90-6440,Jelene,Levene,Male,1943-12-24,2014-04-17,2040-07-25,189,1
190,581-21-8848,Major,"Di Dello",Female,1959-05-17,2008-02-29,2025-08-06,190,0
191,503-35-5595,Jesus,Cheel,Other,1968-04-13,2008-10-18,2039-12-13,191,0
192,610-44-5994,Theo,Brewerton,Other,1945-09-19,2012-01-06,2033-09-07,192,1
193,626-52-2179,Percy,Sommerscales,Male,1966-10-29,2006-01-12,2046-05-30,193,1
194,293-19-5589,Jerri,Toman,Male,1961-09-24,2022-12-21,2035-12-29,194,0
195,135-28-2393,Lavina,Ruddell,Male,1925-07-21,2010-06-10,2036-08-09,195,1
196,307-49-2373,Gay,Frye,Female,1948-04-04,2015-02-14,2035-10-01,196,0
197,862-43-5610,Ursuline,Dorin,Male,1925-04-01,2020-07-13,2049-11-16,197,0
198,348-19-4394,Huntlee,Cliff,Other,1982-05-22,2012-01-02,2035-01-12,198,0
199,526-07-5389,Ernst,Swyer,Female,1955-12-30,2015-07-29,2028-05-12,199,1
200,854-58-4884,Julienne,Rameaux,Female,1948-12-22,2011-12-04,2042-11-18,200,1
201,732-51-4620,Gelya,Harse,Other,1961-03-29,2012-01-02,2032-11-01,1,1
202,489-92-0523,Curr,Sturley,Female,1985-05-27,2019-11-21,2029-06-27,2,1
203,178-88-5068,Vanya,Kahn,Female,1945-05-22,2014-03-28,2033-09-03,3,0
204,895-90-3511,Gustavo,Feltham,Male,1930-11-06,2022-12-19,2027-06-08,4,1
205,702-55-7384,Carma,Haggus,Female,1927-01-08,2011-06-01,2036-06-20,5,1
206,447-03-3825,Ruddy,Maharry,Female,1944-09-30,2008-11-26,2047-05-29,6,0
207,386-02-3741,Roseanna,Burghall,Male,1933-12-12,2014-06-28,2046-11-16,7,1
208,556-45-9843,Waverly,Sharpin,Male,1926-01-03,2014-03-03,2039-10-27,8,1
209,255-33-4378,Balduin,Oen,Male,1938-03-12,2008-12-25,2046-04-05,9,0
210,322-34-0728,Carling,Saywell,Female,1925-04-02,2019-11-08,2049-11-08,10,1
211,397-92-6152,Vida,Jenks,Male,1934-11-27,2021-12-09,2033-07-05,11,1
212,512-49-7068,Keri,Elwel,Other,1929-03-07,2013-01-02,2038-12-15,12,1
213,117-73-8720,Chrystel,Free,Male,1965-12-27,2009-12-04,2046-09-10,13,0
214,513-25-1111,Chance,Condy,Other,1959-11-22,2010-08-29,2036-02-14,14,1
215,549-11-6486,Rowan,Jenicke,Female,1929-03-23,2015-10-15,2042-10-03,15,1
216,653-56-9115,Koren,Kilbane,Male,1935-08-30,2007-06-28,2029-02-07,16,1
217,714-15-6406,Balduin,Brayford,Female,1984-05-16,2016-09-02,2024-02-15,17,1
218,700-14-2483,Bernardine,People,Female,1941-07-30,2020-11-02,2031-05-20,18,0
219,474-08-9427,Cullan,Mortel,Other,1929-01-05,2013-02-21,2041-06-09,19,1
220,589-58-2026,Leslie,Tawn,Other,1960-04-09,2011-02-06,2041-01-02,20,0
221,265-40-2567,Nicholas,Aldridge,Other,1944-04-09,2013-06-20,2046-10-01,21,1
222,526-18-6560,Kari,Stallebrass,Male,1975-01-28,2006-11-19,2033-09-06,22,1
223,325-64-2218,Stephen,Smetoun,Male,1943-01-06,2009-06-21,2026-02-18,23,0
224,645-54-8015,Barry,Doleman,Female,1953-03-08,2009-01-10,2048-08-31,24,1
225,406-14-3641,Currey,Menere,Other,1941-10-08,2017-07-05,2040-01-21,25,1
226,865-09-3920,Vasilis,Charlet,Male,1945-01-25,2014-02-28,2037-09-10,26,1
227,242-07-4064,Jay,Bento,Other,1934-01-21,2010-08-22,2025-04-14,27,0
228,729-41-8420,Gavin,Brickner,Female,1965-08-14,2010-05-17,2046-04-19,28,0
229,843-14-0713,Immanuel,Frere,Female,1944-12-29,2018-03-23,2047-02-03,29,1
230,758-45-4138,Angelico,Persent,Other,1940-04-24,2014-10-10,2037-07-24,30,0
231,518-78-1525,Wilma,Jillions,Other,1935-01-10,2009-04-21,2024-01-05,31,1
232,577-61-4645,Odilia,Vicioso,Male,1974-01-31,2017-05-26,2043-08-12,32,0
233,216-94-9087,Mario,Comiam,Other,1984-01-21,2018-11-22,2027-07-25,33,1
234,579-60-5418,Pamela,Crates,Female,1926-10-17,2008-03-17,2032-05-09,34,1
235,135-65-9904,Priscilla,Hartegan,Other,1950-04-16,2007-11-13,2047-04-12,35,1
236,358-07-9326,Norry,Whapham,Female,1980-12-04,2015-12-25,2046-05-31,36,0
237,402-99-5508,Shantee,Patrickson,Male,1924-03-04,2021-02-21,2049-10-21,37,1
238,685-03-2879,Allan,Larraway,Other,1973-05-19,2011-07-28,2038-08-15,38,0
239,564-86-0961,Margy,Deavin,Male,1963-03-26,2022-01-09,2042-08-12,39,0
240,775-93-0576,Brodie,Nudd,Other,1982-09-14,2018-09-20,2024-07-02,40,1
241,274-42-9215,Maggee,Dragonette,Male,1929-07-11,2016-03-26,2031-08-06,41,1
242,477-87-2599,Jordain,Longega,Male,1943-04-20,2016-06-23,2049-08-05,42,1
243,334-96-5175,Andra,Gerrell,Male,1924-08-25,2022-08-05,2024-04-27,43,0
244,795-99-0846,Dunstan,Lardeux,Other,1931-07-31,2012-06-23,2041-05-20,44,0
245,759-88-2867,Cheryl,Dayment,Female,1940-09-30,2021-10-06,2031-11-13,45,1
246,614-29-6830,Leontyne,Scotson,Female,1927-11-04,2012-07-31,2043-04-09,46,1
247,572-94-6194,Donn,Handes,Other,1952-07-01,2020-02-09,2040-10-13,47,0
248,826-43-6899,Ruthie,Tassell,Other,1971-10-11,2017-01-29,2041-05-23,48,1
249,451-52-4694,Vite,Procter,Female,1973-10-26,2015-06-18,2045-09-18,49,1
250,162-85-7195,Hubie,Cordier,Other,1981-06-16,2006-07-10,2030-05-25,50,1
251,398-40-3660,Mary,Ellam,Female,1936-02-12,2020-09-22,2028-03-13,51,0
252,395-59-0888,Bennett,Paintain,Male,1944-04-06,2018-05-26,2025-10-14,52,1
253,538-15-7258,Pegeen,Gwin,Other,1937-12-20,2009-11-01,2030-11-04,53,1
254,699-48-2920,Kare,Walkington,Other,1926-06-05,2014-01-16,2030-03-26,54,1
255,589-49-1466,Torrie,Readings,Female,1956-11-24,2018-11-03,2033-03-04,55,0
256,109-71-3110,Paco,McGinlay,Female,1978-01-28,2016-08-02,2036-06-27,56,1
257,409-31-0485,Merrill,Rosevear,Male,1967-12-10,2014-05-15,2041-05-28,57,1
258,565-76-8883,Karlik,Warde,Other,1980-10-22,2019-04-09,2046-07-11,58,1
259,546-64-6512,Cointon,Diamond,Male,1967-10-24,2019-08-29,2042-02-01,59,0
260,702-12-7481,Bruce,Bilt,Male,1929-02-23,2022-03-08,2025-04-29,60,1
261,624-81-7875,Johann,Barrett,Other,1981-02-25,2011-08-02,2028-02-19,61,0
262,307-32-4313,Kinnie,Judgkins,Male,1956-01-03,2011-07-16,2046-07-28,62,1
263,513-21-1483,Dayle,Peete,Other,1984-07-30,2007-04-16,2044-07-31,63,0
264,667-19-3307,Frasquito,Witling,Female,1928-01-08,2017-09-15,2026-06-22,64,1
265,398-75-3113,Tybi,Valentim,Other,1930-05-26,2008-04-16,2037-09-15,65,1
266,635-48-6959,Mandel,Lacoste,Male,1978-03-22,2017-09-24,2025-04-23,66,1
267,177-67-3566,Trumann,Rispine,Other,1978-11-18,2014-06-08,2024-06-30,67,0
268,521-86-5194,Maxy,Snufflebottom,Female,1986-04-28,2009-06-24,2025-10-31,68,1
269,320-25-0143,Robinet,Kiessel,Male,1954-05-17,2020-01-06,2049-01-22,69,1
270,279-45-0018,Jeff,Pischof,Male,1936-06-03,2017-02-19,2027-05-01,70,1
271,422-59-2001,Kelly,Brixey,Other,1953-11-06,2020-03-31,2026-03-17,71,0
272,646-28-5391,Nicolina,Sugge,Male,1967-08-11,2008-08-05,2028-03-01,72,1
273,445-44-0215,Elset,Fellis,Female,1957-03-24,2015-04-26,2041-08-15,73,1
274,419-38-6140,Pattie,Rupprecht,Male,1950-03-04,2021-01-22,2038-08-19,74,1
275,838-28-8553,Byran,Cridlan,Female,1936-06-15,2011-12-30,2028-01-29,75,0
276,183-06-7556,Grayce,Rousel,Male,1927-11-15,2009-04-27,2029-09-03,76,0
277,387-45-3272,Mame,Vedeneev,Male,1955-12-21,2013-07-14,2033-06-12,77,1
278,149-13-9594,Michal,Virgo,Male,1963-09-22,2019-03-11,2044-12-29,78,0
279,152-77-9192,Jeanie,Blencowe,Female,1939-02-15,2014-10-13,2040-11-24,79,1
280,727-86-0412,Brose,Kesten,Female,1949-04-26,2020-09-11,2032-02-08,80,1
281,315-53-8933,Lurleen,Treherne,Male,1941-08-31,2013-06-19,2027-03-26,81,1
282,411-08-0325,Theodor,Baus,Other,1950-03-24,2018-11-15,2029-11-27,82,1
283,307-71-4818,Miriam,Becaris,Male,1934-07-02,2018-04-28,2043-12-29,83,1
284,835-54-7628,Astrix,Teeney,Female,1962-02-02,2008-04-24,2041-10-20,84,0
285,439-70-2693,Ulrica,Janssen,Other,1972-11-15,2017-03-20,2026-08-22,85,0
286,785-40-9245,Tamma,Clemson,Other,1954-10-14,2009-04-29,2048-07-27,86,1
287,360-72-7870,Bay,Stronach,Other,1966-07-01,2010-09-16,2027-07-12,87,1
288,235-61-4593,Rori,Lyst,Female,1970-10-03,2015-01-14,2048-12-08,88,0
289,491-52-0457,Micaela,Sandys,Female,1955-11-24,2012-01-23,2039-06-30,89,1
290,475-16-7823,Kimmie,"Le Blond",Female,1964-12-26,2008-10-22,2048-01-06,90,0
291,612-93-3240,Augustus,Gunthorp,Male,1953-04-19,2006-11-27,2026-01-24,91,0
292,496-35-4283,Sayre,Bertenshaw,Male,1953-01-17,2015-10-06,2042-06-28,92,0
293,527-92-5423,Morgen,Chifney,Male,1944-08-14,2012-09-22,2039-09-06,93,0
294,404-42-1175,Leontyne,Aharoni,Female,1952-05-20,2014-12-09,2029-08-18,94,1
